Year,Violent Crime rate,Avg unemployment,Poverty rate,GDP growth
1976,669.3,0.09108333333333332,,
1977,706.0,0.08316666666666667,,
1978,742.9,0.07158333333333332,,
1979,811.1,0.06241666666666667,,
1980,893.6,0.06875,0.11028297119757453,
1981,863.0,0.07416666666666667,0.1333775713337757,
1982,814.7,0.09974999999999999,0.14118555235038394,
1983,772.6,0.09783333333333333,0.1491914656919226,
1984,763.4,0.07750000000000001,0.13185654008438819,
1985,765.3,0.0715,0.13592379800423343,
1986,920.5,0.06733333333333333,0.12750166162026438,
1987,918.0,0.05783333333333334,0.12350683359041503,
1988,929.8,0.052750000000000005,0.13236402800215402,0.031
1989,977.7,0.05116666666666668,0.12853540516595108,0.011000000000000001
1990,1045.2,0.05783333333333334,0.13868637661683184,0.004
1991,1089.9,0.07775,0.15698714820237514,-0.031
1992,1119.7,0.09291666666666666,0.16393804611841897,-0.018000000000000002
1993,1077.8,0.09433333333333334,0.18151391929934313,-0.013999999999999999
1994,1013.0,0.08600000000000002,0.17866051975117622,0.012
1995,966.0,0.07875,0.1666510684760568,0.033
1996,862.7,0.07250000000000001,0.16938554403343137,0.03
1997,798.3,0.06349999999999999,0.16604313045594185,0.045
1998,703.7,0.05925,0.1537306259762105,0.049
1999,627.2,0.052416666666666674,0.140424269396232,0.059000000000000004
2000,621.6,0.04933333333333333,0.126707781285963,0.06
2001,615.2,0.054666666666666676,0.12563237774030353,-0.017
2002,595.4,0.06683333333333334,0.13131629976046538,0.013000000000000001
2003,579.6,0.06799999999999998,0.13124132657396131,0.028999999999999998
2004,527.8,0.06166666666666667,0.13205859331320585,0.032
2005,526.0,0.05366666666666666,0.13158482142857142,0.032
2006,533.5,0.049166666666666664,0.12242809734513274,0.027000000000000003
2007,524.1,0.054083333333333344,0.12660358098601263,0.009000000000000001
2008,504.2,0.07458333333333335,0.14586347135409558,-0.005
2009,473.3,0.1125,0.15344836971313483,-0.054000000000000006
2010,439.6,0.12141666666666666,0.16307733619763695,-0.001
2011,411.2,0.11591666666666667,0.16897212172802725,0.004
2012,423.1,0.10266666666666667,0.1586648037150159,0.013999999999999999
