Year,Violent Crime rate,Avg unemployment
1976,669.3,9.108333333333333
1977,706.0,8.316666666666666
1978,742.9,7.158333333333332
1979,811.1,6.241666666666667
1980,893.6,6.875
1981,863.0,7.416666666666667
1982,814.7,9.975
1983,772.6,9.783333333333333
1984,763.4,7.750000000000001
1985,765.3,7.1499999999999995
1986,920.5,6.733333333333333
1987,918.0,5.783333333333334
1988,929.8,5.275
1989,977.7,5.116666666666668
1990,1045.2,5.783333333333334
1991,1089.9,7.7749999999999995
1992,1119.7,9.291666666666666
1993,1077.8,9.433333333333334
1994,1013.0,8.600000000000001
1995,966.0,7.875
1996,862.7,7.250000000000001
1997,798.3,6.349999999999999
1998,703.7,5.925
1999,627.2,5.241666666666667
2000,621.6,4.933333333333334
2001,615.2,5.466666666666668
2002,595.4,6.683333333333334
2003,579.6,6.799999999999998
2004,527.8,6.166666666666667
2005,526.0,5.366666666666666
2006,533.5,4.916666666666666
2007,524.1,5.408333333333334
2008,504.2,7.458333333333335
2009,473.3,11.25
2010,439.6,12.141666666666666
2011,411.2,11.591666666666667
2012,423.1,10.266666666666667
